TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
se.chalmers.ju2jmh.experiments.workloads.Sqrt,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,16,15
se.chalmers.ju2jmh.experiments.workloads.ToHexString,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,15,13
